stimulus_id	source	license	filename	sha256	duration_s	resolution	fps	codec	audio	presentation_duration_s
VID001	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID001.spec.json	af9b733e70d86437733dba0fec34333488d706f50680e7c1bfa226708989d627	4.0	1280x720	30	h264	none	4.0
VID002	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID002.spec.json	6e6c73793ecad8e6dd8befd231303afb606352c2fc4227d36d9596d799dedcdf	4.0	1280x720	30	h264	none	4.0
VID003	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID003.spec.json	bc922ee5c6cfc3600b8e139d808174140abbf0b048ab250b90993b0027553437	4.0	1280x720	30	h264	none	4.0
VID004	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID004.spec.json	c5dfe276e1c18b542e00cdad622ec9c4c270bc521bc2e2d55357c052649123bb	4.0	1280x720	30	h264	none	4.0
VID005	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID005.spec.json	4e3f26f96192e9f61ceb7f6b8a05181e25edaa32b7c29ffdc3b47def8af02bac	4.0	1280x720	30	h264	none	4.0
VID006	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID006.spec.json	2cccd2af4ff7cfa9632272a376d1fa1867fe1bc421e2892be1777f4d78b8dff1	4.0	1280x720	30	h264	none	4.0
VID007	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID007.spec.json	cf82e737884e27fb52384744d0999b4554bdb52f43a590fe56a16b5d4d5ea811	4.0	1280x720	30	h264	none	4.0
VID008	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID008.spec.json	32218cf15aea521a0eeb6f2ee3f947510f5a56191dd7f3cda5f3f6301c994fe0	4.0	1280x720	30	h264	none	4.0
VID009	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID009.spec.json	a5337ff2d49a6c00193463ec25f76f43201dd469384c230cc2227b9d79f1a450	4.0	1280x720	30	h264	none	4.0
VID010	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID010.spec.json	585e293b84b8b4bfcad062fc30b2047be96648604c6fe5b60bb34b235ee719f7	4.0	1280x720	30	h264	none	4.0
VID011	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID011.spec.json	9b9b2f0b70833f669aa94f446f22a9b97c860aad9c5112dd8da7d81d7f073f02	4.0	1280x720	30	h264	none	4.0
VID012	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID012.spec.json	543cc18cf34fa21d2359b82b97ef34c863ff05a5d6af3902d4da4adb5ed9d94c	4.0	1280x720	30	h264	none	4.0
VID013	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID013.spec.json	39ac575b0320e0120946324001e38f66cd8b589763e385abcaa2b936a7cb1e0f	4.0	1280x720	30	h264	none	4.0
VID014	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID014.spec.json	62735abe7739d2636a7448595017c4e80a142ed42d6ccf7ac6feb7795683c24b	4.0	1280x720	30	h264	none	4.0
VID015	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID015.spec.json	1ef4c8e3220ae81f23299bdeaf824dea6159175cc1ad950fb464c16306d24d47	4.0	1280x720	30	h264	none	4.0
VID016	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID016.spec.json	bebda9caa2e71fbdd11523273c94276520b8e5279a807d67eecf18e0e83ebfab	4.0	1280x720	30	h264	none	4.0
VID017	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID017.spec.json	ae5bf85c8aa0f6ab87adaced50c8748172938f13560137d8e5cb6c62973f7e9a	4.0	1280x720	30	h264	none	4.0
VID018	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID018.spec.json	7a226821c3069b46010c93915bae9bce52643c234dc6145e049e09438046b9b3	4.0	1280x720	30	h264	none	4.0
VID019	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID019.spec.json	6f514a066efb7e558eecee9a0c95d880cdb670866864107c75a24baceb6c0aef	4.0	1280x720	30	h264	none	4.0
VID020	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID020.spec.json	50fe2c13370f422bc8ca3930cea385c17f9aca55e3e626e24c6a7602edc7d777	4.0	1280x720	30	h264	none	4.0
